title,date_last_chore,soft_deadline_days,hard_deadline_days,description
AC Filters,2025-04-10,30,45,"Remove filters, wash with water, spray AC with fungal spray"
Bathroom,2025-05-05,5,10,"Clean toilet, sink, shower, and floor"
Kitchen,2025-05-08,7,14,"Wipe counters, clean stove, mop floor"
Refrigerator,2025-04-15,30,45,"Remove all items, clean shelves, wipe interior"
Vacuum,2025-05-04,7,14,"Vacuum all carpets and rugs in the house"
Floor,2025-05-01,7,14,"Sweep and mop all hard floors"
Windows,2025-03-15,60,90,"Clean interior and exterior of all windows"
Dishwasher,2025-03-25,60,90,"Clean filter and run empty cycle with cleaner"
Washing Machine,2025-04-05,30,60,"Run cleaning cycle with washing machine cleaner"
Dryer,2025-04-05,30,45,"Clean lint trap thoroughly and vacuum vent"
Oven,2025-02-10,90,120,"Clean interior using oven cleaner"
Microwave,2025-05-04,7,14,"Clean interior with vinegar solution"
Shower Doors,2025-05-05,7,14,"Clean glass with shower cleaner to prevent buildup"
Ceiling Fans,2025-03-20,60,90,"Dust blades and clean light fixtures"
Air Purifier,2025-04-25,30,45,"Replace or clean filter according to manual"
